benchmark,kind,line,function,applicable,pragma,in_main,in_excluded_function,on_scaffolding,end
polybench/cholesky,task,104,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,104
polybench/cholesky,task,101,main,False,['#pragma omp task'],True,True,False,101
polybench/cholesky,task,101,main,False,['#pragma omp task'],True,True,False,101
polybench/cholesky,task,101,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,False,101
polybench/cholesky,task,105,main,False,['#pragma omp task'],True,True,True,105
polybench/cholesky,task,105,main,False,['#pragma omp task'],True,True,True,105
polybench/cholesky,task,105,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,105
polybench/cholesky,task,104,main,False,['#pragma omp task'],True,True,True,104
polybench/cholesky,task,104,main,False,['#pragma omp task'],True,True,True,104
polybench/cholesky,task,104,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,104
polybench/cholesky,do_all,104,main,True,#pragma omp parallel for,True,True,True,104
polybench/cholesky,do_all,105,main,True,#pragma omp parallel for,True,True,True,105
polybench/cholesky,do_all,33,init_array,True,#pragma omp parallel for,False,True,False,33
polybench/cholesky,do_all,30,init_array,True,#pragma omp parallel for,False,True,False,30
polybench/cholesky,do_all,49,print_array,True,#pragma omp parallel for,False,True,False,49
polybench/cholesky,do_all,48,print_array,True,#pragma omp parallel for,False,True,False,48
polybench/cholesky,do_all,88,polybench_flush_cache,True,#pragma omp parallel for,False,True,False,88
polybench/cholesky,reduction,71,kernel_cholesky,True,#pragma omp parallel for,False,False,False,71
polybench/cholesky,reduction,77,kernel_cholesky,True,#pragma omp parallel for,False,False,False,77
polybench/correlation,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/correlation,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/correlation,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/correlation,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/correlation,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/correlation,task,340,polybench_timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,347
polybench/correlation,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/correlation,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/correlation,task,328,polybench_timer_start,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,334
polybench/correlation,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/correlation,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/correlation,task,318,polybench_prepare_instruments,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,323
polybench/correlation,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/correlation,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/correlation,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/correlation,do_all,143,main,True,#pragma omp parallel for,True,True,True,143
