== polybench/2mm
  discopop_cc: rc=0 0.3s
  ./a.out: rc=0 0.2s
  seed=0 run 19: rc=0 19.13s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=0 run 20: rc=0 22.44s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 1: rc=0 22.53s bc77a0a284 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 2: rc=0 20.23s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 3: rc=0 22.69s 3e5623079b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 4: rc=0 17.95s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 5: rc=0 20.56s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 6: rc=0 21.41s bc77a0a284 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 7: rc=0 19.51s 2c3c616470 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 8: rc=0 20.8s db4bf92038 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 9: rc=0 21.03s cb440db306 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 10: rc=0 20.64s f09a650661 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 11: rc=0 22.33s cec642cfc6 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 12: rc=0 19.6s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 13: rc=0 19.93s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 14: rc=0 19.39s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=7 run 15: rc=0 21.15s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
